SampleID	groupID	genotype	batch	compartment	genotype2	ecotype	species	Description	PlantID	genotype	AerialW	RootW	NoduleW	UndergroundW
#A17b2r1	A17b2r	A17	2	root	WT	A17	medicago	wildtype	101	A17	1.74	0.74	0.052	0.792
#A17b2r2	A17b2r	A17	2	root	WT	A17	medicago	wildtype	102	A17	1.44	0.66	0.075	0.735
A17b2r3	A17b2r	A17	2	root	WT	A17	medicago	wildtype	103	A17	1.68	0.53	0.081	0.611
#A17b2r4	A17b2r	A17	2	root	WT	A17	medicago	wildtype	104	A17	1.45	0.7	0.058	0.758
A17b2r5	A17b2r	A17	2	root	WT	A17	medicago	wildtype	105	A17	1.04	0.38	0.058	0.438
A17b2r6	A17b2r	A17	2	root	WT	A17	medicago	wildtype	106	A17	0.39	0.13	0.026	0.156
A17b2r7	A17b2r	A17	2	root	WT	A17	medicago	wildtype	107	A17	0.84	0.3	0.035	0.335
#A17b2r8	A17b2r	A17	2	root	WT	A17	medicago	wildtype	108	A17	1.4	0.63	0.05	0.68
#A17b2r9	A17b2r	A17	2	root	WT	A17	medicago	wildtype	109	A17	1.7	0.68	0.047	0.727
Anfpb2r1	Anfpb2r	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	128	NFP-1(A17)	0.29	0.26	0	0.26
Anfpb2r2	Anfpb2r	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	129	NFP-1(A17)	0.22	0.12	0	0.12
Anfpb2r3	Anfpb2r	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	130	NFP-1(A17)	0.25	0.08	0	0.08
Anfpb2r4	Anfpb2r	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	131	NFP-1(A17)	0.15	0.06	0	0.06
Anfpb2r5	Anfpb2r	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	132	NFP-1(A17)	0.23	0.15	0	0.15
Anfpb2r6	Anfpb2r	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	133	NFP-1(A17)	0.13	0.05	0	0.05
#Anfpb2r7	Anfpb2r	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	134	NFP-1(A17)	0.3	0.08	0	0.08
Anfpb2r8	Anfpb2r	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	135	NFP-1(A17)	0.32	0.11	0	0.11
Anfpb2r9	Anfpb2r	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	136	NFP-1(A17)	0.26	0.12	0	0.12
dmi2b2r1	dmi2b2r	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	137	dmi2	1.73	0.71	0.062	0.772
dmi2b2r10	dmi2b2r	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	138	dmi2	0.24	0.21	0	0.21
dmi2b2r2	dmi2b2r	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	139	dmi2	0.19	0.09	0	0.09
dmi2b2r3	dmi2b2r	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	140	dmi2	0.16	0.1	0	0.1
dmi2b2r4	dmi2b2r	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	141	dmi2	0.16	0.11	0	0.11
dmi2b2r5	dmi2b2r	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	142	dmi2	0.29	0.15	0	0.15
dmi2b2r6	dmi2b2r	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	143	dmi2	0.32	0.17	0	0.17
dmi2b2r7	dmi2b2r	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	144	dmi2	0.33	0.22	0	0.22
dmi2b2r8	dmi2b2r	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	145	dmi2	0.2	0.09	0	0.09
dmi2b2r9	dmi2b2r	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	146	dmi2	0.3	0.26	0	0.26
dmi3b2r1	dmi3b2r	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	147	dmi3	0.2	0.21	0	0.21
dmi3b2r2	dmi3b2r	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	148	dmi3	0.14	0.09	0	0.09
dmi3b2r3	dmi3b2r	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	149	dmi3	0.21	0.14	0	0.14
dmi3b2r4	dmi3b2r	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	150	dmi3	0.15	0.17	0	0.17
dmi3b2r5	dmi3b2r	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	151	dmi3	0.17	0.18	0	0.18
dmi3b2r6	dmi3b2r	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	152	dmi3	0.18	0.12	0	0.12
dmi3b2r7	dmi3b2r	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	153	dmi3	0.17	0.08	0	0.08
dmi3b2r8	dmi3b2r	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	154	dmi3	0.12	0.07	0	0.07
dmi3b2r9	dmi3b2r	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	155	dmi3	0.2	0.11	0	0.11
lyk3b2r1	lyk3b2r	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	156	LYK3	0.19	0.17	0	0.17
lyk3b2r2	lyk3b2r	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	157	LYK3	0.16	0.08	0	0.08
lyk3b2r3	lyk3b2r	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	158	LYK3	0.19	0.11	0	0.11
